RR
930
947
911
875
866
823
821
803
805
786
788
771
804
808
830
803
831
836
815
806
810
791
756
748
761
802
820
821
826
822
828
827
837
842
869
895
904
916
922
927
947
991
998
1003
978
954
959
974
965
999
1002
981
963
959
974
990
995
995
1021
994
984
956
947
940
943
977
991
988
991
963
937
915
935
927
949
974
991
1021
1014
969
934
900
874
876
893
943
990
1009
1007
